# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATHC_TP5_1296,Pacuta_HTAC_TP7_1487,729250,729250,729250,709704.000000,97.320000,NA
Pacuta_ATHC_TP5_1296,Pacuta_HTAC_TP5_1571,729250,729250,729250,709739.500000,97.320000,NA
Pacuta_ATHC_TP3_1219,Pacuta_ATHC_TP9_2979,729250,729250,729250,709719.500000,97.320000,NA
Pacuta_ATHC_TP1_2977,Pacuta_ATHC_TP9_2979,729250,729250,729250,709741.000000,97.320000,NA
Pacuta_ATAC_TP6_1468,Pacuta_ATAC_TP9_1141,729250,729250,729250,709709.000000,97.320000,NA
Pacuta_ATHC_TP5_1296,Pacuta_HTAC_TP8_1329,729250,729250,729250,709654.000000,97.310000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTAC_TP5_1303,729250,729250,729250,709544.500000,97.300000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTAC_TP3_2026,729250,729250,729250,709586.500000,97.300000,NA
Pacuta_ATHC_TP5_1296,Pacuta_ATHC_TP7_1281,729250,729250,729250,709534.500000,97.300000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP5_1296,729250,729250,729250,709545.000000,97.300000,NA
Pacuta_ATAC_TP9_1141,Pacuta_ATHC_TP5_2212,729250,729250,729250,709564.500000,97.300000,NA
Pacuta_ATAC_TP1_1775,Pacuta_HTAC_TP9_1486,729250,729250,729250,709539.000000,97.300000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTHC_TP4_1169,729250,729250,729250,709517.500000,97.290000,NA
Pacuta_ATHC_TP11_2668,Pacuta_HTAC_TP8_1329,729250,729250,729250,709456.500000,97.290000,NA
Pacuta_ATAC_TP9_1141,Pacuta_HTAC_TP6_1744,729250,729250,729250,709501.000000,97.290000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP4_2993,729250,729250,729250,709393.000000,97.280000,NA
Pacuta_ATHC_TP6_2999,Pacuta_ATHC_TP9_2979,729250,729250,729250,709324.000000,97.270000,NA
Pacuta_ATHC_TP5_1296,Pacuta_HTAC_TP3_2026,729250,729250,729250,709317.500000,97.270000,NA
Pacuta_ATHC_TP1_2977,Pacuta_ATHC_TP5_1296,729250,729250,729250,709370.000000,97.270000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP5_1296,729250,729250,729250,709339.000000,97.270000,NA
Pacuta_ATHC_TP4_2993,Pacuta_ATHC_TP8_2861,729250,729250,729250,709248.000000,97.260000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP4_2993,729250,729250,729250,709250.000000,97.260000,NA
Pacuta_ATHC_TP11_2668,Pacuta_ATHC_TP1_1207,729250,729250,729250,709241.000000,97.260000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTHC_TP11_1416,729250,729250,729250,709179.500000,97.250000,NA
Pacuta_ATHC_TP4_2993,Pacuta_HTHC_TP5_1168,729250,729250,729250,709199.500000,97.250000,NA
Pacuta_ATHC_TP3_1219,Pacuta_ATHC_TP5_1296,729250,729250,729250,709213.500000,97.250000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTHC_TP11_1416,729250,729250,729250,709142.000000,97.240000,NA
Pacuta_ATHC_TP5_1296,Pacuta_HTAC_TP5_1303,729250,729250,729250,709144.000000,97.240000,NA
Pacuta_ATHC_TP11_2668,Pacuta_ATHC_TP11_2879,729250,729250,729250,709114.500000,97.240000,NA
Pacuta_ATHC_TP5_1296,Pacuta_ATHC_TP6_2999,729250,729250,729250,709034.000000,97.230000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTHC_TP11_1416,729250,729250,729250,709045.500000,97.230000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTHC_TP3_1418,729250,729250,729250,709035.500000,97.230000,NA
Pacuta_ATHC_TP4_2993,Pacuta_HTAC_TP5_1571,729250,729250,729250,708957.500000,97.220000,NA
Pacuta_ATAC_TP1_1775,Pacuta_ATAC_TP8_1755,729250,729250,729250,709008.500000,97.220000,NA
Pacuta_HTHC_TP11_1416,Pacuta_HTHC_TP3_2527,729250,729250,729250,708908.000000,97.210000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTHC_TP3_2527,729250,729250,729250,708903.000000,97.210000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTHC_TP11_1416,729250,729250,729250,708927.000000,97.210000,NA
