ind1	ind2	match_perc
Mcapitata_ATHC_TP7_2860	Mcapitata_ATHC_TP9_2862	86.110000
Mcapitata_ATHC_TP9_2862	Mcapitata_ATHC_TP7_2860	86.110000
Mcapitata_ATHC_TP10_2737	Mcapitata_HTAC_TP4_2000	86.110000
Mcapitata_HTAC_TP4_2000	Mcapitata_ATHC_TP10_2737	86.110000
Mcapitata_ATAC_TP6_2402	Mcapitata_HTHC_TP9_1078	86.110000
Mcapitata_HTHC_TP9_1078	Mcapitata_ATAC_TP6_2402	86.110000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP12_1729	86.110000
Mcapitata_HTAC_TP12_1729	Mcapitata_ATAC_TP5_1610	86.110000
Mcapitata_ATAC_TP4_1108	Mcapitata_ATHC_TP6_2555	86.110000
Mcapitata_ATHC_TP6_2555	Mcapitata_ATAC_TP4_1108	86.110000
Mcapitata_ATAC_TP3_1548	Mcapitata_HTHC_TP10_1074	86.110000
Mcapitata_HTHC_TP10_1074	Mcapitata_ATAC_TP3_1548	86.110000
Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP9_1078	86.100000
Mcapitata_HTHC_TP9_1078	Mcapitata_HTHC_TP3_1277	86.100000
Mcapitata_HTAC_TP4_1481	Mcapitata_HTHC_TP12_2190	86.100000
Mcapitata_HTHC_TP12_2190	Mcapitata_HTAC_TP4_1481	86.100000
Mcapitata_ATHC_TP8_2753	Mcapitata_HTHC_TP1_1145	86.100000
Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP8_2753	86.100000
Mcapitata_ATHC_TP5_2986	Mcapitata_HTAC_TP7_1645	86.100000
Mcapitata_HTAC_TP7_1645	Mcapitata_ATHC_TP5_2986	86.100000
Mcapitata_ATHC_TP1_1218	Mcapitata_ATHC_TP9_2995	86.100000
Mcapitata_ATHC_TP9_2995	Mcapitata_ATHC_TP1_1218	86.100000
Mcapitata_ATAC_TP8_1779	Mcapitata_HTAC_TP5_1321	86.100000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP8_1779	86.100000
Mcapitata_ATAC_TP5_1196	Mcapitata_ATAC_TP5_1610	86.100000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATAC_TP5_1196	86.100000
Mcapitata_ATAC_TP3_1101	Mcapitata_ATAC_TP5_1610	86.100000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATAC_TP3_1101	86.100000
Mcapitata_HTHC_TP1_1145	Mcapitata_HTHC_TP4_1328	86.090000
Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP1_1145	86.090000
Mcapitata_ATHC_TP7_1223	Mcapitata_HTAC_TP7_1278	86.090000
Mcapitata_HTAC_TP7_1278	Mcapitata_ATHC_TP7_1223	86.090000
Mcapitata_ATHC_TP6_1212	Mcapitata_HTHC_TP1_1145	86.090000
Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP6_1212	86.090000
Mcapitata_ATHC_TP5_1706	Mcapitata_ATHC_TP5_2986	86.090000
Mcapitata_ATHC_TP5_2986	Mcapitata_ATHC_TP5_1706	86.090000
Mcapitata_ATAC_TP9_1121	Mcapitata_HTHC_TP8_1082	86.090000
Mcapitata_HTHC_TP8_1082	Mcapitata_ATAC_TP9_1121	86.090000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTHC_TP11_1178	86.090000
Mcapitata_HTHC_TP11_1178	Mcapitata_ATAC_TP5_1610	86.090000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATAC_TP6_2402	86.090000
Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP5_1610	86.090000
Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP7_2419	86.090000
Mcapitata_HTHC_TP7_2419	Mcapitata_ATAC_TP4_1108	86.090000
Mcapitata_HTAC_TP4_1481	Mcapitata_HTAC_TP4_2000	86.080000
Mcapitata_HTAC_TP4_2000	Mcapitata_HTAC_TP4_1481	86.080000
Mcapitata_ATHC_TP9_1148	Mcapitata_HTAC_TP7_1722	86.080000
Mcapitata_HTAC_TP7_1722	Mcapitata_ATHC_TP9_1148	86.080000
Mcapitata_ATHC_TP10_1204	Mcapitata_HTHC_TP12_2190	86.080000
Mcapitata_HTHC_TP12_2190	Mcapitata_ATHC_TP10_1204	86.080000
Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP6_1604	86.080000
