# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATAC_TP9_1121,Mcapitata_HTHC_TP8_1082,515952,515952,515952,444205.500000,86.090000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTHC_TP11_1178,515952,515952,515952,444182.000000,86.090000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_ATAC_TP6_2402,515952,515952,515952,444188.000000,86.090000,NA
Mcapitata_ATAC_TP4_1108,Mcapitata_HTHC_TP7_2419,515952,515952,515952,444170.500000,86.090000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTAC_TP4_2000,515952,515952,515952,444112.500000,86.080000,NA
Mcapitata_ATHC_TP9_1148,Mcapitata_HTAC_TP7_1722,515952,515952,515952,444148.500000,86.080000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTHC_TP12_2190,515952,515952,515952,444109.000000,86.080000,NA
Mcapitata_ATAC_TP4_1108,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444157.000000,86.080000,NA
Mcapitata_HTHC_TP5_1449,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444054.500000,86.070000,NA
Mcapitata_HTHC_TP4_1328,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444085.000000,86.070000,NA
Mcapitata_HTHC_TP10_1689,Mcapitata_HTHC_TP8_1246,515952,515952,515952,444095.500000,86.070000,NA
Mcapitata_HTAC_TP9_1467,Mcapitata_HTHC_TP5_1694,515952,515952,515952,444105.000000,86.070000,NA
Mcapitata_HTAC_TP7_1645,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444057.000000,86.070000,NA
Mcapitata_HTAC_TP4_2000,Mcapitata_HTHC_TP1_1145,515952,515952,515952,444070.500000,86.070000,NA
Mcapitata_HTAC_TP1_1579,Mcapitata_HTAC_TP4_1481,515952,515952,515952,444070.500000,86.070000,NA
Mcapitata_ATHC_TP7_2875,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444065.000000,86.070000,NA
Mcapitata_ATHC_TP3_1544,Mcapitata_HTHC_TP3_2518,515952,515952,515952,444094.500000,86.070000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444064.000000,86.070000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTAC_TP8_2410,515952,515952,515952,444077.500000,86.070000,NA
Mcapitata_ATAC_TP6_2402,Mcapitata_HTHC_TP11_2511,515952,515952,515952,444065.000000,86.070000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_ATHC_TP6_1212,515952,515952,515952,444062.000000,86.070000,NA
Mcapitata_ATAC_TP4_1108,Mcapitata_HTAC_TP12_1729,515952,515952,515952,444103.000000,86.070000,NA
Mcapitata_ATAC_TP1_1037,Mcapitata_ATAC_TP4_1651,515952,515952,515952,444058.500000,86.070000,NA
Mcapitata_HTHC_TP6_1604,Mcapitata_HTHC_TP7_2419,515952,515952,515952,444017.000000,86.060000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP8_2067,515952,515952,515952,444052.500000,86.060000,NA
Mcapitata_HTAC_TP6_1588,Mcapitata_HTHC_TP5_1345,515952,515952,515952,444042.000000,86.060000,NA
Mcapitata_HTAC_TP6_1588,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444003.500000,86.060000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP8_1082,515952,515952,515952,444031.500000,86.060000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444031.000000,86.060000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP3_1277,515952,515952,515952,444025.000000,86.060000,NA
Mcapitata_ATHC_TP3_1544,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444003.000000,86.060000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_ATHC_TP10_2737,515952,515952,515952,444041.500000,86.060000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444024.000000,86.060000,NA
Mcapitata_ATAC_TP4_1651,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444025.000000,86.060000,NA
Mcapitata_ATAC_TP4_1108,Mcapitata_ATHC_TP3_1544,515952,515952,515952,444049.500000,86.060000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444025.500000,86.060000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_HTAC_TP4_2000,515952,515952,515952,444008.000000,86.060000,NA
Mcapitata_ATAC_TP1_1600,Mcapitata_ATHC_TP11_2756,515952,515952,515952,444028.000000,86.060000,NA
Mcapitata_HTAC_TP8_2410,Mcapitata_HTHC_TP11_1178,515952,515952,515952,443976.500000,86.050000,NA
Mcapitata_HTAC_TP7_1278,Mcapitata_HTHC_TP6_1164,515952,515952,515952,443961.000000,86.050000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTHC_TP5_1345,515952,515952,515952,443987.500000,86.050000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTAC_TP5_1321,515952,515952,515952,443970.000000,86.050000,NA
